mois,marche,ville,produit,prix_fcfa,quantite,total,collecteur
Avr,Marché Biyem,Yaoundé,Igname (kg),524.0,47,24628,Enquêteur_C
Mar,New-Bell,Douala,Manioc (kg),163.0,40,6520,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Tomate (kg),228.0,74,16872,Enquêteur_B
Avr,Sandaga,Douala,Huile (1L),858.0,81,69498,Enquêteur_B
Mai,New-Bell,Douala,Riz (1kg),355.0,29,10295,Enquêteur_A
Mar,Mokolo,Douala,Poulet (kg),2192.0,70,153440,Enquêteur_A
Fév,Sandaga,Douala,Plantain (kg),346.0,40,13840,Enquêteur_B
Mar,Grand Marché,Bafoussam,Huile (1L),1346.0,66,88836,Enquêteur_A
Jun,Mokolo,Douala,Sucre (1kg),623.0,44,27412,Enquêteur_B
Fév,New-Bell,Douala,Igname (kg),443.0,58,25694,Enquêteur_B
Avr,Mfoundi,Yaoundé,Tomate (kg),279.0,3,837,Enquêteur_C
Avr,Marché Biyem,Yaoundé,Sucre (1kg),616.0,88,54208,Enquêteur_B
Fév,Sandaga,Douala,Huile (1L),742.0,92,68264,Enquêteur_B
Fév,New-Bell,Douala,Riz (1kg),547.0,19,10393,Enquêteur_B
Mar,Marché Biyem,Yaoundé,Igname (kg),512.0,60,30720,Enquêteur_A
Avr,Mfoundi,Yaoundé,Riz (1kg),597.0,61,36417,Enquêteur_C
Avr,Grand Marché,Bafoussam,Riz (1kg),554.0,92,50968,Enquêteur_C
Jun,Marché Central,Yaoundé,Riz (1kg),412.0,17,7004,Enquêteur_A
Mai,Marché Central,Yaoundé,Arachide (kg),516.0,85,43860,Enquêteur_A
Mar,New-Bell,Douala,Sucre (1kg),631.0,50,31550,Enquêteur_C
Jan,Mokolo,Douala,Igname (kg),422.0,64,27008,Enquêteur_A
Mar,Grand Marché,Bafoussam,Tomate (kg),512.0,31,15872,Enquêteur_A
Fév,Marché Biyem,Yaoundé,Plantain (kg),391.0,18,7038,Enquêteur_B
Jan,Mvog-Mbi,Yaoundé,Poisson fumé (kg),1905.0,71,135255,Enquêteur_A
Avr,Sandaga,Douala,Riz (1kg),511.0,99,50589,Enquêteur_A
Fév,New-Bell,Douala,Plantain (kg),316.0,57,18012,Enquêteur_B
Fév,Marché Biyem,Yaoundé,Manioc (kg),191.0,80,15280,Enquêteur_C
Jan,Mfoundi,Yaoundé,Huile (1L),810.0,36,29160,Enquêteur_A
Mai,Marché Central,Yaoundé,Plantain (kg),484.0,58,28072,Enquêteur_B
Mai,Sandaga,Douala,Sucre (1kg),558.0,77,42966,Enquêteur_A
Fév,New-Bell,Douala,Sucre (1kg),585.0,71,41535,Enquêteur_B
Fév,Mokolo,Douala,Poulet (kg),2100.0,86,180600,Enquêteur_C
Mar,Marché Central,Yaoundé,Poisson fumé (kg),2678.0,26,69628,Enquêteur_C
Mai,Grand Marché,Bafoussam,Huile (1L),1388.0,87,120756,Enquêteur_B
Avr,Mvog-Mbi,Yaoundé,Sucre (1kg),635.0,21,13335,Enquêteur_A
Jan,Grand Marché,Bafoussam,Tomate (kg),388.0,73,28324,Enquêteur_B
Avr,Mvog-Mbi,Yaoundé,Poulet (kg),2612.0,95,248140,Enquêteur_A
Jun,Mfoundi,Yaoundé,Arachide (kg),470.0,97,45590,Enquêteur_A
Jun,Sandaga,Douala,Plantain (kg),460.0,7,3220,Enquêteur_C
Fév,Mokolo,Douala,Sucre (1kg),504.0,6,3024,Enquêteur_A
Mai,Marché Central,Yaoundé,Huile (1L),1265.0,77,97405,Enquêteur_B
Avr,Mokolo,Douala,Huile (1L),1346.0,49,65954,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Riz (1kg),344.0,66,22704,Enquêteur_C
Mar,Mfoundi,Yaoundé,Riz (1kg),473.0,67,31691,Enquêteur_A
Avr,Grand Marché,Bafoussam,Plantain (kg),376.0,93,34968,Enquêteur_A
Jun,Mfoundi,Yaoundé,Arachide (kg),686.0,95,65170,Enquêteur_C
Mai,Marché Biyem,Yaoundé,Poulet (kg),3464.0,49,169736,Enquêteur_A
Jan,Sandaga,Douala,Sucre (1kg),564.0,15,8460,Enquêteur_B
Mar,Marché Biyem,Yaoundé,Poisson fumé (kg),3580.0,20,71600,Enquêteur_C
Mai,Mfoundi,Yaoundé,Sucre (1kg),663.0,83,55029,Enquêteur_C
Avr,Marché Biyem,Yaoundé,Sucre (1kg),575.0,72,41400,Enquêteur_A
Jun,Marché Biyem,Yaoundé,Riz (1kg),462.0,19,8778,Enquêteur_B
Jun,Mokolo,Douala,Manioc (kg),,80,8320,Enquêteur_A
Jun,New-Bell,Douala,Arachide (kg),687.0,82,56334,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Manioc (kg),198.0,6,1188,Enquêteur_A
Avr,Grand Marché,Bafoussam,Tomate (kg),84.0,76,6384,Enquêteur_C
Fév,Marché Central,Yaoundé,Igname (kg),330.0,52,17160,Enquêteur_C
Avr,Mokolo,Douala,Poisson fumé (kg),4438.0,95,421610,Enquêteur_C
Jan,Sandaga,Douala,Sucre (1kg),467.0,49,22883,Enquêteur_C
Avr,Marché Biyem,Yaoundé,Poulet (kg),,76,191140,Enquêteur_C
Fév,Grand Marché,Bafoussam,Igname (kg),346.0,8,2768,Enquêteur_A
Jun,Grand Marché,Bafoussam,Manioc (kg),216.0,55,11880,Enquêteur_A
Jan,Grand Marché,Bafoussam,Huile (1L),853.0,91,77623,Enquêteur_A
Fév,Mfoundi,Yaoundé,Arachide (kg),483.0,25,12075,Enquêteur_B
Fév,Marché Biyem,Yaoundé,Huile (1L),1075.0,93,99975,Enquêteur_C
Fév,Marché Biyem,Yaoundé,Poisson fumé (kg),4206.0,64,269184,Enquêteur_B
Mai,Mokolo,Douala,Riz (1kg),,90,40680,Enquêteur_A
Avr,New-Bell,Douala,Manioc (kg),73.0,65,4745,Enquêteur_B
Fév,Mokolo,Douala,Manioc (kg),103.0,82,8446,Enquêteur_B
Fév,Mfoundi,Yaoundé,Arachide (kg),837.0,89,74493,Enquêteur_A
Mai,Marché Central,Yaoundé,Arachide (kg),644.0,44,28336,Enquêteur_B
Avr,Grand Marché,Bafoussam,Plantain (kg),302.0,53,16006,Enquêteur_C
Mai,Grand Marché,Bafoussam,Igname (kg),503.0,42,21126,Enquêteur_A
Mar,Mfoundi,Yaoundé,Manioc (kg),92.0,15,1380,Enquêteur_C
Mai,New-Bell,Douala,Sucre (1kg),547.0,16,8752,Enquêteur_A
Avr,Marché Biyem,Yaoundé,Poulet (kg),2361.0,53,125133,Enquêteur_A
Mar,New-Bell,Douala,Huile (1L),1174.0,40,46960,Enquêteur_C
Avr,Mvog-Mbi,Yaoundé,Tomate (kg),412.0,37,15244,Enquêteur_B
Jan,New-Bell,Douala,Arachide (kg),582.0,37,21534,Enquêteur_C
Avr,Mvog-Mbi,Yaoundé,Plantain (kg),488.0,60,29280,Enquêteur_A
Jan,Sandaga,Douala,Riz (1kg),350.0,78,27300,Enquêteur_B
Avr,Grand Marché,Bafoussam,Igname (kg),448.0,56,25088,Enquêteur_B
Fév,Marché Central,Yaoundé,Tomate (kg),403.0,86,34658,Enquêteur_B
Jan,Mokolo,Douala,Manioc (kg),139.0,92,12788,Enquêteur_B
Jun,Mokolo,Douala,Manioc (kg),149.0,86,12814,Enquêteur_B
Avr,Mvog-Mbi,Yaoundé,Riz (1kg),521.0,63,32823,Enquêteur_A
Fév,Grand Marché,Bafoussam,Huile (1L),1018.0,5,5090,Enquêteur_B
Fév,New-Bell,Douala,Plantain (kg),275.0,84,23100,Enquêteur_C
Fév,Marché Central,Yaoundé,Poulet (kg),2674.0,83,221942,Enquêteur_C
Fév,Grand Marché,Bafoussam,Tomate (kg),178.0,51,9078,Enquêteur_B
Mar,Marché Central,Yaoundé,Poisson fumé (kg),3229.0,99,319671,Enquêteur_B
Mai,Grand Marché,Bafoussam,Tomate (kg),304.0,23,6992,Enquêteur_C
Mar,Sandaga,Douala,Igname (kg),590.0,25,14750,Enquêteur_A
Fév,Marché Biyem,Yaoundé,Arachide (kg),638.0,13,8294,Enquêteur_C
Avr,Grand Marché,Bafoussam,Riz (1kg),443.0,96,42528,Enquêteur_B
Mai,Mokolo,Douala,Poulet (kg),2915.0,36,104940,Enquêteur_A
Avr,Grand Marché,Bafoussam,Arachide (kg),677.0,37,25049,Enquêteur_A
Jun,Mfoundi,Yaoundé,Poisson fumé (kg),3313.0,95,314735,Enquêteur_B
Mar,Mfoundi,Yaoundé,Poulet (kg),1785.0,73,130305,Enquêteur_C
Mar,Mvog-Mbi,Yaoundé,Manioc (kg),,81,18144,Enquêteur_A
Jan,Marché Biyem,Yaoundé,Riz (1kg),419.0,67,28073,Enquêteur_A
Jan,Marché Central,Yaoundé,Plantain (kg),260.0,55,14300,Enquêteur_B
Mar,Mokolo,Douala,Igname (kg),537.0,65,34905,Enquêteur_A
Jun,Sandaga,Douala,Plantain (kg),244.0,64,15616,Enquêteur_B
Jan,Sandaga,Douala,Poulet (kg),3212.0,66,211992,Enquêteur_B
Fév,Marché Central,Yaoundé,Huile (1L),1102.0,11,12122,Enquêteur_A
Avr,Mvog-Mbi,Yaoundé,Sucre (1kg),600.0,87,52200,Enquêteur_A
Jan,New-Bell,Douala,Igname (kg),329.0,42,13818,Enquêteur_C
Fév,Mvog-Mbi,Yaoundé,Poisson fumé (kg),2707.0,94,254458,Enquêteur_A
Jan,Grand Marché,Bafoussam,Manioc (kg),198.0,37,7326,Enquêteur_C
Jan,Sandaga,Douala,Huile (1L),1237.0,85,105145,Enquêteur_C
Avr,Marché Central,Yaoundé,Igname (kg),652.0,45,29340,Enquêteur_B
Avr,Marché Central,Yaoundé,Plantain (kg),201.0,96,19296,Enquêteur_B
Avr,Grand Marché,Bafoussam,Arachide (kg),870.0,20,17400,Enquêteur_C
Mar,New-Bell,Douala,Igname (kg),375.0,87,32625,Enquêteur_C
Mar,New-Bell,Douala,Manioc (kg),209.0,86,17974,Enquêteur_C
Mar,Marché Central,Yaoundé,Arachide (kg),571.0,54,30834,Enquêteur_A
Jan,Marché Central,Yaoundé,Poulet (kg),3383.0,8,27064,Enquêteur_A
Jan,Marché Biyem,Yaoundé,Plantain (kg),197.0,27,5319,Enquêteur_B
Mar,Mfoundi,Yaoundé,Manioc (kg),205.0,61,12505,Enquêteur_A
Avr,Sandaga,Douala,Huile (1L),1127.0,11,12397,Enquêteur_C
Jan,Mfoundi,Yaoundé,Poulet (kg),2278.0,73,166294,Enquêteur_A
Avr,Mokolo,Douala,Plantain (kg),447.0,5,2235,Enquêteur_C
Fév,Sandaga,Douala,Arachide (kg),839.0,10,8390,Enquêteur_A
Fév,Mvog-Mbi,Yaoundé,Tomate (kg),225.0,44,9900,Enquêteur_C
Mar,Mfoundi,Yaoundé,Riz (1kg),442.0,88,38896,Enquêteur_A
Mai,Mfoundi,Yaoundé,Huile (1L),1739.0,60,104340,Enquêteur_A
Jun,Sandaga,Douala,Arachide (kg),718.0,47,33746,Enquêteur_B
Avr,Mokolo,Douala,Plantain (kg),407.0,6,2442,Enquêteur_C
Avr,Mokolo,Douala,Igname (kg),619.0,62,38378,Enquêteur_A
Mar,Marché Central,Yaoundé,Huile (1L),1416.0,39,55224,Enquêteur_A
Avr,Mvog-Mbi,Yaoundé,Igname (kg),452.0,53,23956,Enquêteur_A
Jan,New-Bell,Douala,Riz (1kg),317.0,95,30115,Enquêteur_B
Jan,New-Bell,Douala,Tomate (kg),273.0,91,24843,Enquêteur_C
Mai,Mfoundi,Yaoundé,Riz (1kg),600.0,30,18000,Enquêteur_A
Jan,Mfoundi,Yaoundé,Sucre (1kg),647.0,26,16822,Enquêteur_C
Jan,Sandaga,Douala,Plantain (kg),295.0,75,22125,Enquêteur_A
Fév,Grand Marché,Bafoussam,Arachide (kg),571.0,75,42825,Enquêteur_C
Avr,Sandaga,Douala,Manioc (kg),202.0,67,13534,Enquêteur_A
Fév,New-Bell,Douala,Plantain (kg),350.0,79,27650,Enquêteur_C
Jan,New-Bell,Douala,Poisson fumé (kg),3688.0,54,199152,Enquêteur_C
Jan,Grand Marché,Bafoussam,Poisson fumé (kg),3808.0,52,198016,Enquêteur_A
Mai,Mokolo,Douala,Igname (kg),507.0,58,29406,Enquêteur_A
Jan,Marché Central,Yaoundé,Arachide (kg),628.0,63,39564,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Igname (kg),483.0,79,38157,Enquêteur_C
Mai,Mokolo,Douala,Poulet (kg),3400.0,46,156400,Enquêteur_A
Avr,Marché Central,Yaoundé,Riz (1kg),494.0,99,48906,Enquêteur_B
Mar,Marché Central,Yaoundé,Tomate (kg),,1,370,Enquêteur_C
Fév,Grand Marché,Bafoussam,Riz (1kg),521.0,34,17714,Enquêteur_C
Avr,Mvog-Mbi,Yaoundé,Huile (1L),1248.0,43,53664,Enquêteur_B
Fév,Marché Biyem,Yaoundé,Riz (1kg),591.0,60,35460,Enquêteur_B
Jun,Mvog-Mbi,Yaoundé,Plantain (kg),277.0,46,12742,Enquêteur_B
Mar,Grand Marché,Bafoussam,Igname (kg),510.0,31,15810,Enquêteur_B
Avr,Marché Central,Yaoundé,Manioc (kg),177.0,50,8850,Enquêteur_A
Jun,Sandaga,Douala,Igname (kg),577.0,46,26542,Enquêteur_B
Mar,Mokolo,Douala,Plantain (kg),250.0,46,11500,Enquêteur_C
Fév,Mvog-Mbi,Yaoundé,Plantain (kg),458.0,50,22900,Enquêteur_C
Mar,Mvog-Mbi,Yaoundé,Poulet (kg),2000.0,53,106000,Enquêteur_A
Jan,New-Bell,Douala,Sucre (1kg),614.0,29,17806,Enquêteur_B
Mai,Mvog-Mbi,Yaoundé,Sucre (1kg),685.0,15,10275,Enquêteur_A
Mar,Mvog-Mbi,Yaoundé,Manioc (kg),106.0,63,6678,Enquêteur_A
Mar,Grand Marché,Bafoussam,Riz (1kg),394.0,81,31914,Enquêteur_C
Mai,Marché Central,Yaoundé,Arachide (kg),704.0,92,64768,Enquêteur_C
Avr,Sandaga,Douala,Arachide (kg),481.0,86,41366,Enquêteur_C
Mar,Mvog-Mbi,Yaoundé,Arachide (kg),671.0,99,66429,Enquêteur_B
Mai,Marché Biyem,Yaoundé,Tomate (kg),190.0,21,3990,Enquêteur_C
Avr,Mvog-Mbi,Yaoundé,Manioc (kg),213.0,68,14484,Enquêteur_A
Avr,Sandaga,Douala,Arachide (kg),740.0,59,43660,Enquêteur_B
Jan,Marché Central,Yaoundé,Huile (1L),980.0,99,97020,Enquêteur_B
Mar,New-Bell,Douala,Igname (kg),246.0,92,22632,Enquêteur_C
Mar,Marché Biyem,Yaoundé,Huile (1L),1209.0,16,19344,Enquêteur_A
Jun,Marché Central,Yaoundé,Poisson fumé (kg),4073.0,78,317694,Enquêteur_A
Fév,New-Bell,Douala,Sucre (1kg),547.0,63,34461,Enquêteur_A
Avr,Mfoundi,Yaoundé,Riz (1kg),552.0,97,53544,Enquêteur_C
Jan,Marché Central,Yaoundé,Poisson fumé (kg),3504.0,99,346896,Enquêteur_B
Avr,New-Bell,Douala,Poulet (kg),2568.0,27,69336,Enquêteur_B
Jan,Mvog-Mbi,Yaoundé,Poulet (kg),2779.0,95,264005,Enquêteur_B
Jan,Grand Marché,Bafoussam,Arachide (kg),727.0,40,29080,Enquêteur_C
Jan,Mokolo,Douala,Poisson fumé (kg),2824.0,84,237216,Enquêteur_C
Jun,Mokolo,Douala,Manioc (kg),204.0,36,7344,Enquêteur_A
Mar,Mokolo,Douala,Riz (1kg),345.0,8,2760,Enquêteur_B
Fév,Sandaga,Douala,Plantain (kg),354.0,42,14868,Enquêteur_A
Mar,Grand Marché,Bafoussam,Poulet (kg),1962.0,76,149112,Enquêteur_A
Jan,Sandaga,Douala,Plantain (kg),588.0,81,47628,Enquêteur_B
Mai,New-Bell,Douala,Poisson fumé (kg),3408.0,6,20448,Enquêteur_B
Fév,Mokolo,Douala,Poulet (kg),2718.0,31,84258,Enquêteur_A
Fév,Marché Biyem,Yaoundé,Sucre (1kg),633.0,74,46842,Enquêteur_A
Mai,Grand Marché,Bafoussam,Tomate (kg),367.0,41,15047,Enquêteur_C
Fév,New-Bell,Douala,Tomate (kg),366.0,34,12444,Enquêteur_B
Jun,New-Bell,Douala,Huile (1L),1326.0,33,43758,Enquêteur_A
Jan,Mfoundi,Yaoundé,Tomate (kg),476.0,97,46172,Enquêteur_C
Fév,Mvog-Mbi,Yaoundé,Manioc (kg),151.0,25,3775,Enquêteur_A
Avr,Marché Central,Yaoundé,Riz (1kg),579.0,80,46320,Enquêteur_C
Avr,Mvog-Mbi,Yaoundé,Manioc (kg),213.0,68,14484,Enquêteur_A
Jun,Mfoundi,Yaoundé,Arachide (kg),686.0,95,65170,Enquêteur_C
Jun,Grand Marché,Bafoussam,Manioc (kg),245.0,30,7350,Enquêteur_B
Jun,Marché Central,Yaoundé,Poisson fumé (kg),4073.0,78,317694,Enquêteur_A
Jun,Mokolo,Douala,Plantain (kg),,65,12545,Enquêteur_B
Fév,New-Bell,Douala,Sucre (1kg),585.0,71,41535,Enquêteur_B
Fév,Sandaga,Douala,Plantain (kg),393.0,23,9039,Enquêteur_C
Fév,Mvog-Mbi,Yaoundé,Riz (1kg),743.0,14,10402,Enquêteur_B
Mai,Marché Central,Yaoundé,Tomate (kg),200.0,98,19600,Enquêteur_C
Jan,Mvog-Mbi,Yaoundé,Poulet (kg),2779.0,95,264005,Enquêteur_B
Fév,New-Bell,Douala,Plantain (kg),275.0,84,23100,Enquêteur_C
Fév,Mfoundi,Yaoundé,Arachide (kg),467.0,63,29421,Enquêteur_C
Mai,Mfoundi,Yaoundé,Plantain (kg),133.0,21,2793,Enquêteur_B
